Name,Artist,Album,Track Number
Paprika Expose,Bradford Cox,Teenage (Original Soundtrack),8
Left Hand Free,alt-J,Left Hand Free,1
Ohio,Neil Young,Greatest Hits,8
Haystacks,The Cave Singers,No Witch,9
How Long Must I Wait,Dr. Dog,Be The Void,4
Feel It All Around,Washed Out,Life Of Leisure,4
Walkabout (W/ Noah Lennox),Atlas Sound,Logos,3
Dropla,Youth Lagoon,Wondrous Bughouse,6
This Must Be The Place (Naive Melody),Talking Heads,Speaking In Tongues,9
Alright,Supergrass,I Should Coco,4
How Do I Know,Here We Go Magic,A Different Ship,8
Cactus,Tanlines,Mixed Emotions,10
Graceland,Paul Simon,Graceland (25th Anniversary Deluxe Edition),2
Scandinavian Crush,Craft Spells,Idle Labor,2
It All Feels Right,Washed Out,It All Feels Right - Single,1
Cranberry,The Ruby Suns,Fight Softly,4
A Dream of You and Me,Future Islands,Singles,10
Traveling,Tennis,Young & Old,4
The Weight,The Band,The Weight,1
Spirit In The Sky,Norman Greenbaum,Spirit In The Sky,2
Jump Into the Fire (Single Version),Harry Nilsson,Everybody's Talkin': The Very Best of Harry Nilsson,6
